0 0 0 0
0.02 0 0 0
0.05333333 0 0 0
0.08666666 0 0 0
0.12 0 0 0
0.149236 0 0 0
0.1825693 0 0 0
0.2109821 0 0 0
0.242292 0 0 0
0.273892 0 0 0
0.3052909 0 0 0
0.3327482 0 0 0
0.3657611 0 0 0
0.3943936 0 0 0
0.4221252 0 0 0
0.4522135 0 0 0
0.4816487 0 0 0
0.5113779 0 0 0
0.5447112 0 0 0
0.5750238 0 0 0
0.6024861 0 0 0
0.632674 0 0 0
0.6660074 0 0 0
0.6963842 0 0 0
0.7283895 0 0 0
0.7568493 0 0 0
0.7871996 0 0 0
0.8169003 0 0 0
0.8474881 0 0 0
0.8808214 0 0 0
0.9100954 0 0 0
0.9434288 0 0 0
0.9767621 0 0 0
1.005866 0 0 0
1.034388 0 0 0
1.06351 0 0 0
1.096843 0 0 0
1.127188 0 0 0
1.159062 0 0 0
1.188237 0 0 0
1.21936 0 0 0
1.252694 0 0 0
1.284962 0 0 0
1.318295 0 0 0
1.349453 0 0 0
1.381181 0 0 0
1.412188 0 0 0
1.443269 0 0 0
1.476296 0 0 0
1.504598 0 0 0
1.535859 0 0 0
1.567803 0 0 0
1.59799 0 0 0
1.631323 0 0 0
1.66453 0 0 0
1.693772 0 0 0
1.723038 0 0 0
1.754603 0 0 0
1.784844 0 0 0
1.814729 0 0 0
1.845047 0 0 0
1.873893 0 0 0
1.907226 0 0 0
1.939833 0 0 0
1.969437 0 0 0
1.997688 0 0 0
2.027041 0 0 0
2.060374 0 0 0
2.092819 0 0 0
2.122459 0 0 0
2.153224 0 0 0
2.184286 0 0 0
2.215659 0 0 0
2.248993 0 0 0
2.278422 0 0 0
2.307911 0 0 0
2.340996 0 0 0
2.373981 0 0 0
2.40249 0 0 0
2.433732 0 0 0
2.466007 0 0 0
2.495534 0 0 0
2.528867 0 0 0
2.560091 0 0 0
2.593425 0 0 0
2.626067 0 0 0
2.656964 0 0 0
2.689637 0 0 0
2.720129 0 0 0
2.748784 0 0 0
2.781929 0 0 0
2.811028 0 0 0
2.844361 0 0 0
2.873415 0 0 0
2.903997 0 0 0
2.935582 0 0 0
2.968916 0 0 0
2.999859 0 0 0
3.030706 0 0 0
3.06345 0 0 0
3.093593 0 0 0
3.12218 0 0 0
3.152881 0 0 0
3.181181 0 0 0
3.214514 0 0 0
3.243732 0 0 0
3.273611 0 0 0
3.303625 0 0 0
3.334481 0 0 0
3.363887 0 0 0
3.39602 0 0 0
3.426104 0 0 0
3.459043 0 0 0
3.489358 0 0 0
3.522312 0 0 0
3.549637 0 0 0
3.578363 0 0 0
3.607488 0 0 0
3.637249 0 0 0
3.66667 0 0 0
3.699108 0 0 0
3.728337 0 0 0
3.761473 0 0 0
3.791623 0 0 0
3.824956 0 0 0
3.857972 0 0 0
3.890337 0 0 0
3.92367 0 0 0
3.95413 0 0 0
3.984535 0 0 0
4.016129 0 0 0
4.045834 0 0 0
4.079167 0 0 0
4.108986 0 0 0
4.138165 0 0 0
4.169095 0 0 0
4.198451 0 0 0
4.228274 0 0 0
4.25982 0 0 0
4.293153 0 0 0
4.322856 0 0 0
4.351444 0 0 0
4.382903 0 0 0
4.415135 0 0 0
4.448468 0 0 0
4.481802 0 0 0
4.514988 0 0 0
4.548321 0 0 0
4.578752 0 0 0
4.606649 0 0 0
4.637647 0 0 0
4.66608 0 0 0
4.699413 0 0 0
4.727937 0 0 0
4.761271 0 0 0
4.791604 0 0 0
4.823511 0 0 0
4.856363 0 0 0
4.889308 0 0 0
4.918336 0 0 0
4.950897 0 0 0
4.982953 0 0 0
5.014477 0 0 0
5.04781 0 0 0
5.081143 0 0 0
5.114477 0 0 0
5.144942 0 0 0
5.174077 0 0 0
5.20741 0 0 0
5.236178 0 0 0
5.265671 0 0 0
5.299005 0 0 0
5.329801 0 0 0
5.361831 0 0 0
5.395164 0 0 0
5.426952 0 0 0
5.460286 0 0 0
5.491182 0 0 0
5.521792 0 0 0
5.555125 0 0 0
5.584584 0 0 0
5.613499 0 0 0
